uid,nombre_de_la_entidad,departamento_entidad,municipio_entidad,nivel_entidad,orden_entidad,tipo_de_proceso,objeto_a_contratar,nombre_familia,id_familia,detalle_objeto,cuantia_proceso,cuantia_contrato,valor_total_de_adiciones,valor_contrato_con_adiciones,anno_firma,fecha_fima,fecha_ini_ejec_contrato,plazo_de_ejec_del_contrato,rango_de_ejec_del_contrato,tiempo_adiciones_en_dias,tiempo_adiciones_en_meses,fecha_fin_ejec_contrato
18-21-769-7304977,ANTIOQUIA - ALCALDÍA MUNICIPIO DE GRANADA,Antioquia,Granada,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REPOSICIÓN DE UN TRAMO DE LA RED DE ALCANTARILLADO EN LA CARRERA 26 ENTRE CALLES 21 Y 22 A DE GRANADA,337526855,330787028,0,330787028,2018.0,04/20/2018,05/15/2018,4,M,0,0,09/15/2018
17-1-177523-9330597,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TAUSA,Cundinamarca,Tausa,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONTRATAR EL MEJORAMIENTO VIAL DE LA VEREDA SALITRE CON LA CONSTRUCCION DE PLACA HUELLAS SECTOR CUEVAS Y SECTOR CHARNAL Y VEREDA LAGUNITAS SECTOR CHAPETON  MUNICIPIO DE TAUSA CUNDINAMARCA.,478588766,478588766,35863618,514452384,2017.0,09/29/2017,10/30/2017,2,M,0,4,04/28/2018
16-1-160384-5503006,CAQUETÁ - ALCALDÍA MUNICIPIO DE CURILLO,Caquetá,Curillo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REHABILITACIÓN Y PAVIMENTACIÓN VÍAS DEL CASCO URBANO DEL MUNICIPIO DE CURILLO - CAQUETÁ,273099845,273053680,0,273053680,2016.0,08/17/2016,08/18/2016,2,M,0,0,10/18/2016
16-1-165991-5458462,SANTANDER - DIRECCIÓN DE TRÁNSITO Y TRANSPORTE DE FLORIDABLANCA,Santander,Floridablanca,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 2,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,SUMINISTRO E INSTALACIÓN DE REDUCTORES DE VELOCIDAD TIPO RESALTO  SEÑALIZACION VERTICAL Y SUMINISTRO DE OTROS DISPOSITIVOS DE SEÑALIZACION VIAL DEL MUNICIPIO DE FLORIDABLANCA,376309096,375648987,0,375648987,2016.0,12/30/2016,01/11/2017,2,M,0,0,03/11/2017
17-1-179257-7259907,CAUCA - ALCALDÍA MUNICIPIO DE EL TAMBO,Cauca,El Tambo,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO RUTINARIO DE VÍAS  DENTRO DEL MARCO DEL PROYECTO RED DE VÍAS TERCIARIAS PARA LA PAZ Y EL POSTCONFLICTO EN EL MUNICIPIO DE EL TAMBO CAUCA,782978826,782640180,0,782640180,2017.0,10/25/2017,01/19/2018,2,M,0,0,03/19/2018
18-1-186289-7252973,TOLIMA - ALCALDÍA MUNICIPIO DE SANTA ISABEL,Tolima,Santa Isabel,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LA VIA SAN JOSE COLON DEL MUNICIPIO DE SANTA ISABEL DEL DEPARTAMENTO DEL TOLIMA,1401846939,1401561363,0,1401561363,2018.0,03/02/2018,03/02/2018,6,M,0,0,09/02/2018
15-1-142380-3878551,AGENCIA PARA LA INFRAESTRUCTURA DEL META - AIM,Meta,Villavicencio,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LA DIAGONAL 19 ENTRE TRANSVERSAL 23 Y 27 A  LA DIAGONAL 20 ENTRE TRANSVERSAL 23 Y 24 BIS Y TRANSVERSAL 24 BIS ENTRE DIAGONAL 19 Y 20 DE VILLAVICENCIO  META.,7850872284,7846237063,0,7846237063,2015.0,08/31/2015,10/15/2015,12,M,0,2,12/15/2016
14-1-130810-3982295,TOLIMA - GOBERNACIÓN,Tolima,Ibagué,TERRITORIAL,TERRITORIAL DEPARTAMENTAL DESCENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONTRATAR LA FASE I DEL MEJORAMIENTO DE LA VÍA SECUNDARIA ATACO - COYAIMA (DEL KO + 000 AL K10 + 695) EN EL DEPARTAMENTO DEL TOLIMA  EN EL MARCO DEL CONTRATO PLAN DE LA NACIÓN CON LA REGIÓN DEL SUR DEL DEPARTAMENTO DEL TOLIMA.,14952000000,14787394329,0,14787394329,2015.0,10/21/2015,10/21/2015,450,D,0,0,10/21/2015
17-1-169526-6051068,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,NACIONAL,NACIONAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO DE LA CARRETERA OCAÑA - LA ONDINA - LLANO GRANDE - 10 CONVENCIÓN  PR10+0000 - PR11+0000 Y PR13+0000 - PR15+0000  DEPARTAMENTO DE NORTE DE 11 SANTANDER,3500000000,3436087973,0,3436087973,2017.0,05/30/2017,08/01/2017,5,M,0,1,02/01/2018
15-1-145297-5465150,BOYACÁ - ALCALDÍA MUNICIPIO DE BUENAVISTA,Boyacá,Buenavista,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,ESTUDIOS  DISEÑOS Y CONSTRUCCIÓN DE ANDENES  VÍAS URBANAS Y REDES DEL SISTEMA DE ACUEDUCTO Y ALCANTARILLADO EN EL MUNICIPIO DE BUENAVISTA - BOYACÁ,1185192152,1185132159,0,1185132159,2015.0,09/18/2015,09/25/2015,2,M,0,0,11/25/2015
18-1-191294-7637356,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Santander,Bucaramanga,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 1,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,OBRAS DE PARCHEO DE HUECOS  FALLOS Y ACTIVIDADES ADICIONALES EN LA MALLA VIAL URBANA DEL MUNICIPIO DE BUCARAMANGA,2827830619,2746373202,1034022757,3780395959,2018.0,07/30/2018,08/30/2018,4,M,113,0,04/21/2019
19-21-9476-8594631,SANTANDER - ALCALDÍA MUNICIPIO DE CONCEPCIÓN,Santander,Concepción,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación obra pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO EN CONCRETO RIGIDO EN LA CARRERA 5 ENTRE CALLES 6 Y 8  REPOSICION DE REDES HIDROSANITARIAS  DEL CASCO URBANO DEL MUNICIPIO DE CONCEPCION  SANTANDER,542929400,539672699,0,539672699,2019.0,05/17/2019,05/20/2019,4,M,0,0,09/20/2019
16-1-160682-5104858,ANTIOQUIA - ALCALDÍA MUNICIPIO DE COPACABANA,Antioquia,Copacabana,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 3,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,Construcción de placa huellas en vía terciaria en el anillo vial vereda Quebrada arriba ¿ vereda peñolcito sector aguapantal del municipio de Copacabana Antioquia .,279213220,278821920,139410960,418232880,2016.0,09/19/2016,09/20/2016,75,D,15,1,11/04/2016
15-1-143140-3895333,ANTIOQUIA - ALCALDÍA MUNICIPIO DE ENTRERRIOS,Antioquia,Entrerrios,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REPOSICIÓN DE REDES Y PAVIMENTACIÓN CALLES EN EL MUNICIPIO DE ENTRERRIOS  ANTIOQUIA¿,258054454,257960251,0,257960251,2015.0,08/28/2015,09/09/2015,3,M,0,0,12/09/2015
15-1-141450-3860117,CAUCA - GOBERNACIÓN,Cauca,Popayán,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DEL PAVIMENTO DE LA VÍA 25CC03 EL ESTRECHO-BALBOA-ARGELIA EN EL SECTOR ENTRE EL PR60+255 Y EL PR65+255 MUNICIPIO DE ARGELIA  CAUCA  OCCIDENTE,8523738041,8416941407,0,8416941407,2015.0,08/26/2015,08/31/2015,6,M,0,0,02/29/2016
16-1-159016-4962507,CASANARE - ALCALDÍA MUNICIPIO DE TAURAMENA,Casanare,Tauramena,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y MANTENIMIENTO DE LA VÍA ALTERNA TAURAMENA MONTERREY,245113699,245113699,122243026,367356725,2016.0,08/11/2016,09/26/2016,2,M,0,1,12/26/2016
15-1-148714-4032288,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUACHETÁ,Cundinamarca,Guachetá,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PLACAS HUELLAS VEREDA PUEBLO VIEJO DEL MUNICIPIO DE GUACHETÁ- CUNDINAMARCA.,206805472,206199261,0,206199261,2015.0,11/05/2015,11/05/2015,2,M,0,0,01/05/2016
15-1-148821-6430156,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE LA UNIÓN,Valle del Cauca,La Unión,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO RIGIDO EN LA CL 13 CR 23A A 23B  B/ PRADOS DEL NORTE 2 TRAMOS  PASAJE CL 12A CRA 10 Y CL 25 CR16  15A Y 15 LA UNION  VALLE DEL CAUCA,285341776,285151179,0,285151179,2015.0,11/18/2015,12/14/2015,60,D,30,0,01/13/2016
18-1-189283-7411459,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN VICENTE,Antioquia,San Vicente,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,Suministro de material de afirmado de la zona  para la conservación de  6 + 712  kilómetros de vías rurales del Municipio de San Vicente Ferrer  puestos en los tramos viales a intervenir  de acuerdo con las cantidades y ubicación de las obras contempladas en el proyecto  documentos que hacen parte integrante de este contrato.,283924312,283924312,0,283924312,2018.0,06/19/2018,06/21/2018,2,M,0,1,09/21/2018
15-1-142614-4261512,ANTIOQUIA - ALCALDÍA MUNICIPIO DE LA UNIÓN,Antioquia,La Unión,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,PAVIMENTACION DE VIAS URBANAS  EN LA CALLE CATORCE (14) ENTRE LA CARRERA OCHO (8) Y PUENTE QUEBRADA PIEDRAS  CALLE TRECE A (13A) ENTRE CARRERA OCHO (8) Y PUENTE QUEBRADA PIEDRAS Y CARRERA 7  DE LA UNIÓN ANTIOQUIA.,513229386,513229386,0,513229386,2015.0,09/04/2015,09/15/2015,3,M,0,0,12/15/2015
17-1-169835-6456086,CALDAS - GOBERNACIÓN,Caldas,Manizales,TERRITORIAL,TERRITORIAL DEPARTAMENTAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO MEDIANTE LA CONSTRUCCIÓN DE HUELLAS EN CONCRETO  RED VIAL DEPARTAMENTO DE CALDAS,3189707705,216249727,0,216249727,2017.0,06/23/2017,09/18/2017,2,M,20,0,12/08/2017
15-1-139869-3847921,BOYACÁ - ALCALDÍA MUNICIPIO DE CHIQUINQUIRÁ,Boyacá,Chiquinquirá,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO Y REPARCHEO DE VÍAS DEL PERÍMETRO URBANO Y SUBURBANO DEL MUNICIPIO DE CHIQUINQUIRÁ,360000000,359948173,179897140,539845313,2015.0,07/22/2015,07/24/2015,90,D,0,0,07/24/2015
16-1-166199-5567497,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE SEVILLA,Valle del Cauca,Sevilla,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTO RIGIDO EN LOS BARRIOS BRASIL  FUNDADORES Y GRANADA EN EL MUNICIPIO DE SEVILLA - VALLE DEL CAUCA,711985384,711714912,0,711714912,2017.0,01/26/2017,01/30/2017,6,M,0,0,07/30/2017
18-1-192376-7507814,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN VICENTE,Antioquia,San Vicente,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,Mejoramiento de la red vial terciaria del Municipio de San Vicente Ferrer de acuerdo a los documentos técnicos  legales y estudios que hacen parte del proyecto con código BPIN: 2017056740003  aprobado con recursos del SGR en OCAD Municipal del 23 de marzo de 2018.,1491271962,1486471520,0,1486471520,2018.0,07/23/2018,07/30/2018,4,M,0,1,12/30/2018
17-1-172901-6437979,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE PACHO,Cundinamarca,Pacho,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LA VIA QUE CONDUCE DESDE EL PUENTE CUCHARAL HASTA EL CORREGIMIENTO DE PASUNCHA EN EL MUNCIPIO DE PACHO SEGÚN CONVENIO INTERADMINISTRATIVO 261-2016,300000000,298197550,0,298197550,2017.0,06/17/2017,08/02/2017,3,M,15,0,11/17/2017
15-1-147198-5772266,SANTANDER - ALCALDÍA MUNICIPIO DE GUAVATÁ,Santander,Guavatá,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCION DE PAVIMENTACIÓN EN CONCRETO RÍGIDO Y REDES DE ALCANTARILLADO SANITARIO Y PLUVIAL SOBRE CARRERA TERCERA ENTRE CALLE 2 Y CALLE 5  EN EL PERÍMETRO URBANO DEL MUNICIPIO DE GUAVATÁ ¿ SANTANDER,1121925118,1121925118,0,1121925118,2015.0,10/05/2015,10/16/2015,3,M,0,0,01/16/2016
15-1-141079-4384687,CAQUETÁ - ALCALDÍA MUNICIPIO DE CARTAGENA DEL CHAIRÁ,Caquetá,Cartagena del Chairá,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LA CALIDAD DE VIDA DE LA POBLACION MEDIANTE LA INTERVNCION DEL PLAN MAESTRO DE PAVIMENTACION DEL CASCO URBANO EN EL BARRIO BELLAVISTA DEL MUNICIPIO DE CARTAGENA DEL CHAIRA DEPARTAMENTO DEL CAQUETA,1083399772,1083399772,0,1083399772,2015.0,07/29/2015,09/18/2015,4,M,0,0,01/18/2016
16-1-157808-5062847,BOYACÁ - ALCALDÍA MUNICIPIO DE FIRAVITOBA,Boyacá,Firavitoba,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,ADECUACION DE ZONAS DE CIRCULACION PEATONAL EN EL AREA URBANA DEL MUNICIPIO DE FIRAVITOBA DEPARTAMENTO DE BOYACA.,480689329,480679421,138420719,619100140,2016.0,06/27/2016,07/05/2016,150,D,0,0,07/05/2016
15-1-145406-3909044,ANTIOQUIA - ALCALDÍA MUNICIPIO DE TITIRIBÍ,Antioquia,Titiribí,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PLACA HUELLA EN LA VEREDA LOS MICOS  MUNICIPIO DE TITIRIBÍ  DEPARTAMENTO DE ANTIOQUIA,185185186,185185186,0,185185186,2015.0,09/08/2015,09/28/2015,3,M,1,1,01/29/2016
15-1-152541-4267367,TOLIMA - ALCALDÍA MUNICIPIO DE PURIFICACIÓN,Tolima,Purificación,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE LA VIA AÑILES - SAN ROQUE DEL MUNICIPIO DE PURIFICACIÓN TOLIMA,439369683,439098141,19550205,458648346,2015.0,12/30/2015,02/20/2016,3,M,0,1,06/20/2016
19-1-200619-8781631,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SANTUARIO,Antioquia,El Santuario,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO DE ESPACIO PÚBLICO SOBRE LA CARRERA 50 Y CALLEJÓN 45B ENTRE LA AUTOPISTA MEDELLÍN-BOGOTÁ Y LA VÍA INTERMEDIA EN EL MUNICIPIO DE EL SANTUARIO.,777071060,777023036,0,777023036,2019.0,05/23/2019,07/04/2019,4,M,30,0,12/03/2019
15-1-140252-3780971,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE TORO,Valle del Cauca,Toro,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,REPOSICION DE PAVIMENTO RIGIDO Y TUBERIA DE ALCANTARILLADO SANITARIO TRAMO VIAL CALLE 18 ENTRE CARRERAS 2 Y 1 MUNICIPIO DE TORO VALLE DEL CAUCA,194392522,194294722,0,194294722,2015.0,07/10/2015,07/11/2015,75,D,0,0,07/11/2015
17-1-170354-6153246,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,NACIONAL,NACIONAL CENTRALIZADO,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MANTENIMIENTO Y REHABILITACIÓN DE LAS CARRETERAS BARBOSA - TUNJA  RUTA 62  TRAMO 10 6209 Y CHIQUINQUIRÁ - TUNJA  RUTA 60  TRAMO 6008 EN EL DEPARTAMENTO DE BOYACÁ,4500000000,4423747012,0,4423747012,2017.0,06/30/2017,08/28/2017,5,M,0,0,01/28/2018
15-1-140230-3849865,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE TIBÚ,Norte De Santander,Tibú,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,PAVIMENTACION Y REHABILITACION DE LAS VIAS URBANAS DE LOS DIFERENTES BARRIOS DEL CASCO URBANO DEL MUNICIPIO DE TIBU NORTE DE SANTANDER EN CONVENIO CON ECOPETROL,5607484000,5607483999,531075000,6138558999,2015.0,07/22/2015,07/23/2015,5,M,45,4,06/07/2016
17-1-175885-7351764,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE LA PLAYA,Norte De Santander,La Playa de Belen,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 6,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,MEJORAMIENTO Y CONSTRUCCION DEL SISTEMA  DE ALCANTARILLADO Y ACUEDUCTO PARA DIFERENTES SECTORES DEL CENTRO POBLADO DEL CORREGIMIENTO LA VEGA DE SAN ANTONIO  MUNICIPIO  DE LA PLAYA DE BELÉN NORTE DE SANTANDER.,360000000,356254896,0,356254896,2017.0,08/18/2017,09/01/2017,4,M,0,0,01/01/2018
15-1-143924-4046559,ANTIOQUIA - ALCALDÍA MUNICIPIO DE SAN RAFAEL,Antioquia,San Rafael,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE PLACAS HUELLAS PARA LA RECUPERACIÓN DE LA CARRETERA RURAL QUE COMUNICA LA ZONA URBANA CON LAS VEREDAS LA CUMBRE   EL SILENCIO Y DANTICAS DEL MUNICIPIO DE SAN RAFAEL ANTIOQUIA  OCCIDENTE.,907130283,925468362,0,925468362,2015.0,11/14/2015,11/20/2015,24,M,0,0,11/20/2017
15-1-148523-3999787,ANTIOQUIA - ALCALDÍA MUNICIPIO DE CALDAS,Antioquia,Caldas,TERRITORIAL,TERRITORIAL DISTRITAL MUNICIPAL NIVEL 5,Licitación Pública,"Terrenos, Edificios, Estructuras y Vías",Vías,9511,CONSTRUCCIÓN DE OBRAS DE MITIGACIÓN DEL RIESGO  Y MEJORAMIENTO DE LA MALLA VIAL URBANA Y RURAL DEL MUNICIPIO DE CALDAS  ANTIOQUIA,519954502,519921353,0,519921353,2015.0,10/22/2015,11/10/2015,75,D,45,0,12/25/2015
